제목,작업년도,클라이언트,형식,유튜브주소,썸네일 위치,
위워크,2019,,광고,https://youtu.be/NtK5TrNsG1o,,ㅇ
PlatformStereo-Mercury,2019,,뮤직비디오,https://youtu.be/0Rk5mJ5aHqk,,ㅇ
PlatformStereo-SIlk,2019,,뮤직비디오,https://youtu.be/7l7DUsf3tjg,,ㅇ
PlatformStereo-Surf,2019,,뮤직비디오,https://youtu.be/vsdV1FUYVqc,,ㅇ
PlatformStrereo-starfall,2019,,뮤직비디오,https://youtu.be/0TMhqb3yEU0,,ㅇ
PlatformStrereo-whale,2019,,뮤직비디오,https://youtu.be/kXBc7FQwQcM,,ㅇ
PlatformStrereo-Taillight,2019,,뮤직비디오,https://youtu.be/HgPWcfzPnqY,,ㅇ
개늑시,2019,,뮤직비디오,https://youtu.be/8BU7W0WfkBQ,,ㅇ
영상위20주년영상,2019,,"공기관, 광고",https://youtu.be/yrHOmQhCTWo,,ㅇ
원네이션-Compliment,2019,,뮤직비디오,https://youtu.be/8RrxO_UmsJM,,ㅇ
원네이션-Laughting,2019,,뮤직비디오,https://youtu.be/X7Gs744HCCk,,ㅇ
라펠코프-방,2019,,뮤직비디오,https://youtu.be/k8hH2jh_kqw,,ㅇ
,,,,,,
moonyhooked,2020,,뮤직비디오,https://youtu.be/0gdhJxVgatI,,ㅇ
PlatformStrereo-Flash,2020,,뮤직비디오,https://youtu.be/fhoTaAXDsjc,,ㅇ
PlatformStrereo-Flashlive,2020,,뮤직비디오,https://youtu.be/iQC-F2pv0jM,,ㅇ
라라라,2020,,뮤직비디오,https://youtu.be/oVm6fJmPPj4,,ㅇ
블라이미-Gilla,2020,,뮤직비디오,https://youtu.be/WuFfVU1__Bs,,ㅇ
블라이미-KDA,2020,,뮤직비디오,https://youtu.be/JStULYulJSI,,ㅇ
블라이미-Sunshine,2020,,뮤직비디오,https://youtu.be/aXCnRLxn1YA,,ㅇ
비마린,2020,,광고,https://youtu.be/v-K4-Up6nQQ,,ㅇ
영도,2020,,뮤직비디오,https://youtu.be/-smgIqtSl48,,ㅇ
웨이브유니온,2020,,광고,https://youtu.be/BZZUYAd6Nio,,ㅇ
2020디지털베이홍보영상,2020,,광고,https://www.youtube.com/watch?v=IjL_f4ssV7o ,,ㅇ
,,,,,,
에어포스,2021,,뮤직비디오,https://youtu.be/3Lj0SEPieBM,,ㅇ
4pf-뮤비,2021,,뮤직비디오,https://youtu.be/oktTkLKIJ-I,,ㅇ
Alt복지뮤비,2021,,뮤직비디오,https://youtu.be/b9hlwtFqri0,,ㅇ
NFT부산30초스팟영상,2021,,"공기관, 광고",https://youtu.be/Q00X-YT7h1U,,ㅇ
NFT부산루핑1안,2021,,"공기관, 광고",https://youtu.be/2tqvsIKECwE,,ㅇ
WAVEOF-노아주다,2021,,뮤직비디오,https://youtu.be/wmn0wBPK7ls,,ㅇ
WAVEOF-쇼미더머니,2021,,뮤직비디오,https://youtu.be/pejYdqCzFe8,,ㅇ
WAVEOF-악도,2021,,뮤직비디오,https://youtu.be/KtNqwTMyyEU,,ㅇ
WAVEOF-트리키,2021,,뮤직비디오,https://youtu.be/mNS1eF-s54M,,ㅇ
모레니타,2021,,뮤직비디오,https://youtu.be/To5qo_my5Gg,,ㅇ
물빛색스튜디오홍보영상,2021,,광고,https://youtu.be/UNwBsQFBZiQ,,ㅇ
박형준TVC,2021,,"공기관, 광고",https://youtu.be/cQd3iyPmaKw,,ㅇ
버킷리스트,2021,,뮤직비디오,https://youtu.be/BQMRlr1uE38,,ㅇ
